duplicate_group,normalized_title,group_size,cross_source,cross_label,id,title,label,label_str,source,category,original_split
g00153,ai,2,0,0,article_2739,AI - công cụ mới của phóng viên - Báo Hải Dương,0,Non-clickbait,Báo Mới,Other,train
g00153,ai,2,0,0,article_2969,AI - Một góc nhìn khác từ truyền thống Do Thái - Tạp chí nghiên cứu Phật học,0,Non-clickbait,Báo Mới,Công nghệ & Khoa học,train
g00200,"bayern munich tung chiêu, quyết vượt barca ký nico williams",2,1,1,article_0939,"Bayern Munich tung chiêu, quyết vượt Barca ký Nico Williams",0,Non-clickbait,VietNamNet,Thể thao,train
g00200,"bayern munich tung chiêu, quyết vượt barca ký nico williams",2,1,1,article_1955,"Bayern Munich tung chiêu, quyết vượt Barca ký Nico Williams - Báo VietnamNet",1,Clickbait,Báo Mới,Thể thao,train
g00298,bí thư bà rịa,2,1,0,article_0136,Bí thư Bà Rịa - Vũng Tàu nói lời 'gan ruột' trước thời khắc sáp nhập với TPHCM,0,Non-clickbait,VietNamNet,Chính trị & An ninh,test
g00298,bí thư bà rịa,2,1,0,article_1337,Bí thư Bà Rịa - Vũng Tàu gửi thông điệp đến đội ngũ cán bộ trước thềm hợp nhất vào TP.HCM - Tạp chí Doanh nhân Sài Gòn,0,Non-clickbait,Báo Mới,Other,train
g00487,chiêu trò khiến sữa hiup giả vẫn bán chạy dù giá cao ngất ngưởng,2,1,0,article_2080,Chiêu trò khiến sữa HIUP giả vẫn bán chạy dù giá cao ngất ngưởng,1,Clickbait,VietNamNet,Sức khỏe & Đời sống,train
g00487,chiêu trò khiến sữa hiup giả vẫn bán chạy dù giá cao ngất ngưởng,2,1,0,article_2443,Chiêu trò khiến sữa HIUP giả vẫn bán chạy dù giá cao ngất ngưởng - Báo VietnamNet,1,Clickbait,Báo Mới,Other,train
g00553,"chóng mặt, buồn nôn khi đi xe điện: khoa học nói gì?",2,1,0,article_2885,"Chóng mặt, buồn nôn khi đi xe điện: Khoa học nói gì?",1,Clickbait,VietNamNet,Xe & Vận tải,validation
g00553,"chóng mặt, buồn nôn khi đi xe điện: khoa học nói gì?",2,1,0,article_2966,"Chóng mặt, buồn nôn khi đi xe điện: Khoa học nói gì? - Báo VietnamNet",1,Clickbait,Báo Mới,Công nghệ & Khoa học,train
g00611,clb đà nẵng muốn đổi sân đá play-off với bình phước,2,1,0,article_0242,CLB Đà Nẵng muốn đổi sân đá play-off với Bình Phước - Báo VietnamNet,0,Non-clickbait,Báo Mới,Thể thao,test
g00611,clb đà nẵng muốn đổi sân đá play-off với bình phước,2,1,0,article_0940,CLB Đà Nẵng muốn đổi sân đá play-off với Bình Phước,0,Non-clickbait,VietNamNet,Thể thao,train
g00716,công an hà nội khởi tố tiktoker vũ hồng phúc cún bông,2,1,0,article_2429,Công an Hà Nội khởi tố Tiktoker Vũ Hồng Phúc 'Cún Bông' - Báo Tiền Phong,0,Non-clickbait,Báo Mới,Chính trị & An ninh,train
g00716,công an hà nội khởi tố tiktoker vũ hồng phúc cún bông,2,1,0,article_3690,Công an Hà Nội khởi tố Tiktoker Vũ Hồng Phúc 'Cún Bông',0,Non-clickbait,24h,Tin tức tổng hợp,train
g00894,"dù có cơ chế miễn trách nhiệm, cán bộ xử lý việc phức tạp, nhạy cảm vẫn lo lắng",2,1,0,article_0113,"Dù có cơ chế miễn trách nhiệm, cán bộ xử lý việc phức tạp, nhạy cảm vẫn lo lắng",0,Non-clickbait,VietNamNet,Chính trị & An ninh,train
