id,label,label_str,source,category,duplicate_group,heldout_category,split
article_0001,0,Non-clickbait,VnExpress,Tin tức tổng hợp,0,Chính trị & An ninh,train
article_0002,0,Non-clickbait,VnExpress,Tin tức tổng hợp,1,Chính trị & An ninh,train
article_0004,0,Non-clickbait,VnExpress,Tin tức tổng hợp,2,Chính trị & An ninh,train
article_0006,0,Non-clickbait,VnExpress,Tin tức tổng hợp,3,Chính trị & An ninh,train
article_0010,0,Non-clickbait,VnExpress,Tin tức tổng hợp,4,Chính trị & An ninh,train
article_0011,0,Non-clickbait,VnExpress,Tin tức tổng hợp,5,Chính trị & An ninh,train
article_0012,0,Non-clickbait,VnExpress,Tin tức tổng hợp,6,Chính trị & An ninh,train
article_0013,0,Non-clickbait,VnExpress,Tin tức tổng hợp,7,Chính trị & An ninh,train
article_0014,0,Non-clickbait,VnExpress,Tin tức tổng hợp,8,Chính trị & An ninh,train
article_0015,0,Non-clickbait,VnExpress,Tin tức tổng hợp,9,Chính trị & An ninh,train
article_0016,0,Non-clickbait,VnExpress,Tin tức tổng hợp,10,Chính trị & An ninh,train
article_0017,0,Non-clickbait,VnExpress,Tin tức tổng hợp,11,Chính trị & An ninh,train
article_0018,0,Non-clickbait,VnExpress,Tin tức tổng hợp,12,Chính trị & An ninh,train
article_0019,0,Non-clickbait,VnExpress,Tin tức tổng hợp,13,Chính trị & An ninh,train
article_0020,0,Non-clickbait,VnExpress,Tin tức tổng hợp,14,Chính trị & An ninh,train
article_0021,0,Non-clickbait,VnExpress,Tin tức tổng hợp,15,Chính trị & An ninh,train
article_0022,0,Non-clickbait,VnExpress,Tin tức tổng hợp,16,Chính trị & An ninh,train
article_0023,0,Non-clickbait,VnExpress,Tin tức tổng hợp,17,Chính trị & An ninh,train
article_0024,0,Non-clickbait,VnExpress,Tin tức tổng hợp,18,Chính trị & An ninh,train
article_0025,0,Non-clickbait,VnExpress,Tin tức tổng hợp,19,Chính trị & An ninh,train
article_0026,0,Non-clickbait,VnExpress,Tin tức tổng hợp,20,Chính trị & An ninh,train
article_0027,0,Non-clickbait,VnExpress,Tin tức tổng hợp,21,Chính trị & An ninh,train
article_0028,0,Non-clickbait,VnExpress,Tin tức tổng hợp,22,Chính trị & An ninh,train
article_0029,0,Non-clickbait,VnExpress,Tin tức tổng hợp,23,Chính trị & An ninh,train
article_0030,0,Non-clickbait,VnExpress,Tin tức tổng hợp,24,Chính trị & An ninh,train
article_0031,0,Non-clickbait,VnExpress,Tin tức tổng hợp,25,Chính trị & An ninh,train
article_0032,0,Non-clickbait,VnExpress,Tin tức tổng hợp,26,Chính trị & An ninh,train
article_0033,0,Non-clickbait,VnExpress,Tin tức tổng hợp,27,Chính trị & An ninh,train
article_0034,0,Non-clickbait,VnExpress,Tin tức tổng hợp,28,Chính trị & An ninh,train
article_0035,0,Non-clickbait,VnExpress,Tin tức tổng hợp,29,Chính trị & An ninh,train
article_0036,0,Non-clickbait,VnExpress,Tin tức tổng hợp,30,Chính trị & An ninh,train
article_0037,0,Non-clickbait,VnExpress,Tin tức tổng hợp,31,Chính trị & An ninh,train
article_0038,0,Non-clickbait,VnExpress,Tin tức tổng hợp,32,Chính trị & An ninh,train
article_0039,0,Non-clickbait,VnExpress,Tin tức tổng hợp,33,Chính trị & An ninh,train
article_0040,0,Non-clickbait,VnExpress,Tin tức tổng hợp,34,Chính trị & An ninh,train
article_0041,0,Non-clickbait,VnExpress,Tin tức tổng hợp,35,Chính trị & An ninh,train
article_0042,0,Non-clickbait,VnExpress,Tin tức tổng hợp,36,Chính trị & An ninh,train
