id,split,label,label_str,source,category,publish_dt,duplicate_group
article_0001,train,0,Non-clickbait,VnExpress,Tin tức tổng hợp,2025-06-23 05:26:00.000,g02319
article_0002,train,0,Non-clickbait,VnExpress,Tin tức tổng hợp,2025-06-23 05:26:00.000,g00097
article_0004,train,0,Non-clickbait,VnExpress,Tin tức tổng hợp,2025-06-23 04:56:00.000,g02178
article_0006,train,0,Non-clickbait,VnExpress,Tin tức tổng hợp,2025-06-23 04:03:00.000,g02814
article_0008,train,0,Non-clickbait,VnExpress,Tin tức tổng hợp,2025-06-23 03:07:00.000,g01171
article_0009,validation,0,Non-clickbait,VnExpress,Tin tức tổng hợp,2025-06-23 00:03:00.000,g00188
article_0010,test,0,Non-clickbait,VnExpress,Tin tức tổng hợp,2025-06-22 22:00:00.000,g02196
article_0011,train,0,Non-clickbait,VnExpress,Tin tức tổng hợp,2025-06-22 17:00:00.000,g01830
article_0012,train,0,Non-clickbait,VnExpress,Tin tức tổng hợp,2025-06-22 12:40:00.000,g00899
article_0013,train,0,Non-clickbait,VnExpress,Tin tức tổng hợp,2025-06-22 11:11:00.000,g02710
article_0014,train,0,Non-clickbait,VnExpress,Tin tức tổng hợp,2025-06-22 08:48:00.000,g03205
article_0015,train,0,Non-clickbait,VnExpress,Tin tức tổng hợp,2025-06-22 08:05:00.000,g00769
article_0016,train,0,Non-clickbait,VnExpress,Tin tức tổng hợp,2025-06-22 07:39:00.000,g01752
article_0017,test,0,Non-clickbait,VnExpress,Tin tức tổng hợp,2025-06-22 04:48:00.000,g02140
article_0018,train,0,Non-clickbait,VnExpress,Tin tức tổng hợp,2025-06-22 03:00:00.000,g01121
article_0019,train,0,Non-clickbait,VnExpress,Tin tức tổng hợp,,g00241
article_0020,test,0,Non-clickbait,VnExpress,Tin tức tổng hợp,2025-06-21 17:39:00.000,g00406
article_0021,test,0,Non-clickbait,VnExpress,Tin tức tổng hợp,2025-06-21 17:34:00.000,g00026
article_0022,train,0,Non-clickbait,VnExpress,Tin tức tổng hợp,2025-06-21 15:20:00.000,g03208
article_0023,train,0,Non-clickbait,VnExpress,Tin tức tổng hợp,2025-06-21 11:08:00.000,g02944
