id,split,label,label_str,source,category,publish_dt,duplicate_group
article_0002,test,0,Non-clickbait,VnExpress,Tin tức tổng hợp,2025-06-23 05:26:00.000,1
article_0010,test,0,Non-clickbait,VnExpress,Tin tức tổng hợp,2025-06-22 22:00:00.000,4
article_0017,test,0,Non-clickbait,VnExpress,Tin tức tổng hợp,2025-06-22 04:48:00.000,11
article_0022,test,0,Non-clickbait,VnExpress,Tin tức tổng hợp,2025-06-21 15:20:00.000,16
article_0025,test,0,Non-clickbait,VnExpress,Tin tức tổng hợp,2025-06-21 10:16:00.000,19
article_0027,test,0,Non-clickbait,VnExpress,Tin tức tổng hợp,2025-06-21 03:42:00.000,21
article_0028,test,0,Non-clickbait,VnExpress,Tin tức tổng hợp,2025-06-21 01:48:00.000,22
article_0040,test,0,Non-clickbait,VnExpress,Tin tức tổng hợp,2025-06-20 03:21:00.000,34
article_0041,test,0,Non-clickbait,VnExpress,Tin tức tổng hợp,2025-06-20 02:48:00.000,35
article_0052,test,0,Non-clickbait,Tuổi Trẻ,Tin tức tổng hợp,2025-06-23 05:10:26.000,46
article_0056,test,0,Non-clickbait,Tuổi Trẻ,Du lịch & Ẩm thực,2025-06-22 23:45:36.000,50
article_0059,test,1,Clickbait,Tuổi Trẻ,Other,2025-06-13 04:23:27.000,2500
article_0076,test,0,Non-clickbait,Thanh Niên,Chính trị & An ninh,2025-06-23 03:41:00.000,67
article_0106,test,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,2025-06-21 23:55:00.000,96
article_0108,test,0,Non-clickbait,Thanh Niên,Other,2025-06-12 02:57:00.000,98
article_0111,test,0,Non-clickbait,VietNamNet,Chính trị & An ninh,2025-06-22 12:23:00.000,101
article_0117,test,0,Non-clickbait,VietNamNet,Chính trị & An ninh,2025-06-22 20:11:00.000,106
article_0130,test,0,Non-clickbait,VietNamNet,Chính trị & An ninh,2025-06-21 11:33:00.000,119
article_0133,test,0,Non-clickbait,VietNamNet,Chính trị & An ninh,2025-06-21 03:27:00.000,122
article_0136,test,0,Non-clickbait,VietNamNet,Chính trị & An ninh,2025-06-20 08:19:00.000,125
article_0139,test,0,Non-clickbait,VietNamNet,Chính trị & An ninh,2025-06-21 08:49:00.000,2504
article_0154,test,1,Clickbait,SaoStar,Giải trí & Showbiz,2025-06-22 14:34:30.785,132
article_0156,test,1,Clickbait,SaoStar,Giải trí & Showbiz,2025-06-22 11:00:44.593,134
article_0162,test,1,Clickbait,SaoStar,Giải trí & Showbiz,2025-06-22 01:00:00.000,137
article_0166,test,1,Clickbait,SaoStar,Giải trí & Showbiz,2025-06-21 12:00:46.292,141
article_0171,test,1,Clickbait,SaoStar,Giải trí & Showbiz,2025-06-21 04:15:06.862,145
article_0179,test,0,Non-clickbait,24h,Tin tức tổng hợp,2025-06-23 06:11:23.000,153
article_0182,test,0,Non-clickbait,24h,Tin tức tổng hợp,2025-06-22 17:10:00.000,156
article_0195,test,1,Clickbait,24h,Tin tức tổng hợp,2025-06-23 00:29:50.000,2519
article_0202,test,0,Non-clickbait,24h,Tin tức tổng hợp,2025-06-22 03:26:00.000,172
article_0205,test,0,Non-clickbait,24h,Tin tức tổng hợp,2025-06-22 05:43:38.000,175
article_0210,test,0,Non-clickbait,24h,Tin tức tổng hợp,2025-06-20 13:39:00.000,180
article_0211,test,0,Non-clickbait,24h,Tin tức tổng hợp,2025-06-20 04:21:00.000,181
article_0214,test,1,Clickbait,24h,Tin tức tổng hợp,2025-06-20 01:48:00.000,2521
article_0225,test,1,Clickbait,Báo Mới,Thể thao,2025-06-23 04:54:00.000,187
article_0230,test,0,Non-clickbait,Báo Mới,Thể thao,2025-06-23 06:10:00.000,191
article_0235,test,0,Non-clickbait,Báo Mới,Thể thao,2025-06-23 06:18:02.000,193
article_0237,test,1,Clickbait,Báo Mới,Thể thao,2025-06-23 06:05:00.000,2533
article_0242,test,0,Non-clickbait,Báo Mới,Thể thao,2025-06-23 04:59:00.000,195
article_0251,test,0,Non-clickbait,Báo Mới,Thể thao,2025-06-21 11:44:45.000,2538
article_0264,test,0,Non-clickbait,Báo Mới,Thể thao,,215
article_0272,test,1,Clickbait,Báo Mới,Thể thao,2025-06-18 05:36:57.000,2540
article_0274,test,0,Non-clickbait,Báo Mới,Thể thao,,223
article_0279,test,0,Non-clickbait,VnExpress,Quốc tế,2025-06-23 04:23:00.000,226
article_0281,test,0,Non-clickbait,VnExpress,Quốc tế,2025-06-23 03:28:00.000,227
article_0289,test,0,Non-clickbait,VnExpress,Quốc tế,2025-06-23 00:38:00.000,234
article_0292,test,0,Non-clickbait,VnExpress,Quốc tế,2025-06-22 17:00:00.000,237
article_0293,test,0,Non-clickbait,VnExpress,Quốc tế,2025-06-22 15:49:00.000,238
article_0294,test,0,Non-clickbait,VnExpress,Quốc tế,2025-06-22 14:59:00.000,239
article_0295,test,0,Non-clickbait,VnExpress,Quốc tế,2025-06-22 14:06:00.000,2542
article_0299,test,0,Non-clickbait,VnExpress,Quốc tế,2025-06-22 11:06:00.000,243
article_0317,test,0,Non-clickbait,VnExpress,Quốc tế,2025-06-21 12:42:00.000,254
article_0325,test,0,Non-clickbait,VnExpress,Quốc tế,2025-06-21 04:48:00.000,262
article_0343,test,0,Non-clickbait,Tuổi Trẻ,Quốc tế,2025-06-13 04:20:21.000,278
article_0346,test,1,Clickbait,Thanh Niên,Other,2025-06-22 23:40:00.000,2552
article_0347,test,0,Non-clickbait,Thanh Niên,Other,2025-06-23 00:00:00.000,2553
article_0349,test,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,2025-06-23 06:19:00.000,282
article_0350,test,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,2025-06-23 05:53:00.000,283
article_0357,test,0,Non-clickbait,Thanh Niên,Other,2025-06-23 03:53:00.000,290
article_0361,test,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,2025-06-23 03:14:00.000,294
article_0368,test,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,2025-06-23 01:28:00.000,299
article_0369,test,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,2025-06-23 01:21:00.000,300
article_0374,test,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,2025-06-16 01:39:00.000,305
article_0390,test,0,Non-clickbait,VietNamNet,Tin tức tổng hợp,2025-06-23 02:59:00.000,320
article_0403,test,1,Clickbait,VietNamNet,Tin tức tổng hợp,2025-06-22 23:31:00.000,2560
article_0406,test,0,Non-clickbait,VietNamNet,Tin tức tổng hợp,2025-06-22 22:00:00.000,329
article_0414,test,0,Non-clickbait,VietNamNet,Tin tức tổng hợp,2025-06-21 15:32:00.000,337
article_0418,test,0,Non-clickbait,VietNamNet,Tin tức tổng hợp,2025-06-22 19:42:00.000,340
article_0426,test,1,Clickbait,SaoStar,Sức khỏe & Đời sống,2025-06-23 05:41:10.298,347
article_0428,test,1,Clickbait,SaoStar,Sức khỏe & Đời sống,2025-06-23 02:00:00.000,2562
article_0441,test,0,Non-clickbait,SaoStar,Sức khỏe & Đời sống,2025-06-22 00:45:50.175,357
article_0452,test,0,Non-clickbait,SaoStar,Sức khỏe & Đời sống,2025-06-20 23:30:00.000,364
article_0470,test,0,Non-clickbait,24h,Quốc tế,2025-06-23 02:30:00.000,377
article_0477,test,0,Non-clickbait,24h,Quốc tế,2025-06-22 22:00:00.000,382
article_0479,test,0,Non-clickbait,24h,Quốc tế,2025-06-21 11:45:00.000,384
article_0485,test,0,Non-clickbait,24h,Quốc tế,2025-06-21 05:00:00.000,388
article_0495,test,0,Non-clickbait,Báo Mới,Quốc tế,2025-06-23 06:26:00.000,2581
article_0509,test,0,Non-clickbait,Báo Mới,Quốc tế,2025-06-23 06:07:00.000,406
article_0514,test,1,Clickbait,Báo Mới,Quốc tế,2025-06-23 05:47:00.000,2585
article_0527,test,0,Non-clickbait,Báo Mới,Quốc tế,2025-06-23 05:27:00.000,420
article_0541,test,0,Non-clickbait,Báo Mới,Quốc tế,2025-06-23 05:07:49.000,430
article_0542,test,0,Non-clickbait,Báo Mới,Quốc tế,2025-06-23 05:07:45.000,431
article_0543,test,0,Non-clickbait,Báo Mới,Quốc tế,2025-06-23 05:06:00.000,2593
article_0560,test,0,Non-clickbait,VnExpress,Kinh doanh & Kinh tế,2025-06-23 01:27:00.000,443
article_0561,test,0,Non-clickbait,VnExpress,Kinh doanh & Kinh tế,2025-06-23 00:43:00.000,444
article_0565,test,0,Non-clickbait,VnExpress,Kinh doanh & Kinh tế,2025-06-23 01:00:00.000,448
