id,label,label_str,source,category,publish_dt,split
article_0019,0,Non-clickbait,VnExpress,Tin tức tổng hợp,,excluded_missing_datetime
article_0246,0,Non-clickbait,Báo Mới,Thể thao,,excluded_missing_datetime
article_0247,0,Non-clickbait,Báo Mới,Thể thao,,excluded_missing_datetime
article_0248,0,Non-clickbait,Báo Mới,Thể thao,,excluded_missing_datetime
article_0249,0,Non-clickbait,Báo Mới,Thể thao,,excluded_missing_datetime
article_0250,0,Non-clickbait,Báo Mới,Thể thao,,excluded_missing_datetime
article_0254,0,Non-clickbait,Báo Mới,Thể thao,,excluded_missing_datetime
article_0255,0,Non-clickbait,Báo Mới,Thể thao,,excluded_missing_datetime
article_0256,0,Non-clickbait,Báo Mới,Thể thao,,excluded_missing_datetime
article_0257,0,Non-clickbait,Báo Mới,Thể thao,,excluded_missing_datetime
article_0258,0,Non-clickbait,Báo Mới,Thể thao,,excluded_missing_datetime
article_0259,1,Clickbait,Báo Mới,Thể thao,,excluded_missing_datetime
article_0260,0,Non-clickbait,Báo Mới,Thể thao,,excluded_missing_datetime
article_0261,0,Non-clickbait,Báo Mới,Thể thao,,excluded_missing_datetime
article_0263,0,Non-clickbait,Báo Mới,Thể thao,,excluded_missing_datetime
article_0264,0,Non-clickbait,Báo Mới,Thể thao,,excluded_missing_datetime
article_0267,0,Non-clickbait,Báo Mới,Thể thao,,excluded_missing_datetime
article_0271,0,Non-clickbait,Báo Mới,Thể thao,,excluded_missing_datetime
article_0273,1,Clickbait,Báo Mới,Thể thao,,excluded_missing_datetime
article_0274,0,Non-clickbait,Báo Mới,Thể thao,,excluded_missing_datetime
article_0275,0,Non-clickbait,Báo Mới,Thể thao,,excluded_missing_datetime
article_1196,1,Clickbait,Thanh Niên,Chính trị & An ninh,,excluded_missing_datetime
article_2031,1,Clickbait,Thanh Niên,Chính trị & An ninh,,excluded_missing_datetime
article_2035,1,Clickbait,Thanh Niên,Chính trị & An ninh,,excluded_missing_datetime
article_2063,1,Clickbait,Thanh Niên,Chính trị & An ninh,,excluded_missing_datetime
article_2067,1,Clickbait,Thanh Niên,Chính trị & An ninh,,excluded_missing_datetime
article_2072,1,Clickbait,Thanh Niên,Chính trị & An ninh,,excluded_missing_datetime
article_2610,1,Clickbait,Thanh Niên,Chính trị & An ninh,,excluded_missing_datetime
article_2611,1,Clickbait,Thanh Niên,Chính trị & An ninh,,excluded_missing_datetime
article_2612,1,Clickbait,Thanh Niên,Chính trị & An ninh,,excluded_missing_datetime
article_2870,1,Clickbait,Thanh Niên,Chính trị & An ninh,,excluded_missing_datetime
article_0216,0,Non-clickbait,24h,Quốc tế,2025-06-23 06:00:00.000,test
article_0233,1,Clickbait,Báo Mới,Thể thao,2025-06-23 06:00:00.000,test
article_0699,1,Clickbait,SaoStar,Quốc tế,2025-06-23 06:00:00.000,test
