protocol,run_name,model_name,feature_set,train_size,eval_size,accuracy,balanced_accuracy,macro_f1,weighted_f1,clickbait_precision,clickbait_recall,clickbait_f1,roc_auc,pr_auc,heldout_category,domain_model_role
category_heldout,Chính trị & An ninh,tfidf_word_logreg,text_title,3241,173,0.8208092485549133,0.7271312260536398,0.7063783191897071,0.8282260680508065,0.4722222222222222,0.5862068965517241,0.5230769230769231,0.8596743295019158,0.5900425974594111,Chính trị & An ninh,best_logreg
category_heldout,Công nghệ & Khoa học,tfidf_word_logreg,text_title,3194,220,0.7136363636363636,0.7203864210906464,0.7033326911963013,0.7194164725661547,0.5742574257425742,0.7435897435897436,0.6480446927374302,0.7806067172264355,0.628580564334837,Công nghệ & Khoa học,best_logreg
category_heldout,Du lịch & Ẩm thực,tfidf_word_logreg,text_title,3305,109,0.7431192660550459,0.7458819492107069,0.7413559322033898,0.7442948219561498,0.6792452830188679,0.7659574468085106,0.72,0.8479752916952643,0.8465040593086594,Du lịch & Ẩm thực,best_logreg
category_heldout,Giáo dục & Học đường,tfidf_word_logreg,text_title,3254,160,0.875,0.7958690397714788,0.8132586367880486,0.8709733893557422,0.7741935483870968,0.6486486486486487,0.7058823529411765,0.9004614370468029,0.778241632408971,Giáo dục & Học đường,best_logreg
category_heldout,Giải trí & Showbiz,tfidf_word_logreg,text_title,3176,238,0.6260504201680672,0.6101190476190477,0.5917352504673978,0.6404727378683486,0.7841726618705036,0.6488095238095238,0.7100977198697068,0.6898809523809524,0.8271470177477379,Giải trí & Showbiz,best_logreg
category_heldout,Kinh doanh & Kinh tế,tfidf_word_logreg,text_title,3210,204,0.7990196078431373,0.7645089285714286,0.7656289405105501,0.7985859628128439,0.6825396825396826,0.671875,0.6771653543307087,0.8671316964285715,0.7537309895567195,Kinh doanh & Kinh tế,best_logreg
category_heldout,Other,tfidf_word_logreg,text_title,2297,1117,0.7341092211280215,0.7233170134638922,0.6949964557883733,0.7455497049898686,0.5035971223021583,0.7,0.5857740585774058,0.7926927784577724,0.563973409439944,Other,best_logreg
category_heldout,Quốc tế,tfidf_word_logreg,text_title,3173,241,0.6680497925311203,0.6174493554327809,0.6006628003314001,0.6830246796866137,0.3780487804878049,0.5166666666666667,0.43661971830985913,0.6905156537753223,0.4761220999536392,Quốc tế,best_logreg
category_heldout,Sức khỏe & Đời sống,tfidf_word_logreg,text_title,3186,228,0.7280701754385965,0.7226059654631083,0.7226059654631083,0.7280701754385965,0.7615384615384615,0.7615384615384615,0.7615384615384615,0.7990580847723705,0.8275204475376221,Sức khỏe & Đời sống,best_logreg
category_heldout,Thể thao,tfidf_word_logreg,text_title,3089,325,0.6861538461538461,0.6293963643548706,0.6183337938657087,0.6960545837141582,0.41346153846153844,0.5119047619047619,0.4574468085106383,0.6929460580912863,0.5080337787671994,Thể thao,best_logreg
