model_name,macro_f1_original,clickbait_f1_original,balanced_accuracy_original,macro_f1_groupaware,clickbait_f1_groupaware,balanced_accuracy_groupaware,macro_f1_delta_groupaware_minus_original,clickbait_f1_delta_groupaware_minus_original,balanced_accuracy_delta_groupaware_minus_original
tfidf_word_logreg,0.7259229534510434,0.6428571428571429,0.7421336529817202,0.7360692480098926,0.6475770925110133,0.7450704225352113,0.01014629455884919,0.004719949653870348,0.002936769553491092
tfidf_char_logreg,0.7132192292637797,0.6242038216560509,0.7269853161522326,0.7320040537970646,0.6433260393873085,0.7418789331735092,0.018784824533284894,0.01912221773125755,0.014893617021276562
tfidf_word_char_logreg,0.7200584844381059,0.6290672451193059,0.7308011187693537,0.7276396669779023,0.6339285714285714,0.7343971631205674,0.007581182539796338,0.004861326309265501,0.003596044351213634
tfidf_word_svm,0.7183781661103475,0.6181818181818182,0.7224403156527819,0.7223907526370053,0.6203703703703703,0.7241284586954351,0.004012586526657702,0.002188552188552184,0.0016881430426531896
tfidf_char_svm,0.7163380151700252,0.6191536748329621,0.7230995904505044,0.7196453493145062,0.6153846153846154,0.7204974528019179,0.0033073341444810334,-0.003769059448346712,-0.002602137648586522
tfidf_word_char_svm,0.7175886256301935,0.6121495327102804,0.7181500349615423,0.7064359235380613,0.5938242280285035,0.7051293577065229,-0.01115270209213226,-0.018325304681776844,-0.01302067725501943
tfidf_word_rf,0.6878162932957453,0.5424657534246575,0.6760113874737789,0.6761884483810984,0.5159420289855072,0.6631755069423634,-0.011627844914646968,-0.026523724439150298,-0.012835880531415489
keyword_heuristic_threshold_1.00,0.6710787748757833,0.5044510385756676,0.6580411547297973,0.6475301679516695,0.4524590163934426,0.6375037458795325,-0.023548606924113757,-0.05199202218222504,-0.020537408850264782
tfidf_word_nb,0.6067624506032294,0.375886524822695,0.6073918689441614,0.600190739279137,0.36428571428571427,0.6026970332634102,-0.0065717113240924,-0.011600810536980755,-0.0046948356807512415
length_heuristic_threshold_73.00,0.4973708689854833,0.3251670378619153,0.4979572470282689,0.5338414287339325,0.3898305084745763,0.5383028668464689,0.03647055974844915,0.06466347061266098,0.04034561981820001
random_stratified,0.5078761677598886,0.3255813953488372,0.5079362701028869,0.4893617553291242,0.2964705882352941,0.4893766856457896,-0.01851441243076446,-0.02911080711354308,-0.018559584457097267
majority_class,0.4076322636600173,0.0,0.5,0.40763226366001737,0.0,0.5,5.551115123125783e-17,0.0,0.0
