feature_group,group_value,n_samples,n_clickbait,n_non_clickbait,accuracy,macro_f1,clickbait_precision,clickbait_recall,clickbait_f1,balanced_accuracy,false_positive_count,false_negative_count,false_positive_rate,false_negative_rate,dominant_error_type
length_bin,very_short,68,28,40,0.5882352941176471,0.5850043591979075,0.5,0.6071428571428571,0.5483870967741935,0.5910714285714285,17,11,0.425,0.39285714285714285,FP
length_bin,short,154,44,110,0.7337662337662337,0.7112544016097315,0.5223880597014925,0.7954545454545454,0.6306306306306306,0.7522727272727272,32,9,0.2909090909090909,0.20454545454545456,FP
length_bin,long,143,40,103,0.7692307692307693,0.7370884171820157,0.5660377358490566,0.75,0.6451612903225806,0.7633495145631068,23,10,0.22330097087378642,0.25,FP
length_bin,medium,262,85,177,0.7786259541984732,0.7545865633074935,0.6421052631578947,0.7176470588235294,0.6777777777777778,0.7627783316716517,34,24,0.192090395480226,0.2823529411764706,FP
length_bin,very_long,56,16,40,0.8214285714285714,0.7723577235772358,0.7142857142857143,0.625,0.6666666666666666,0.7625,4,6,0.1,0.375,FN
has_question,has_question,55,41,14,0.7272727272727273,0.6318607764390897,0.8095238095238095,0.8292682926829268,0.8192771084337349,0.6289198606271776,8,7,0.5714285714285714,0.17073170731707318,FP
has_question,no_question,628,172,456,0.7531847133757962,0.7129959694420611,0.5384615384615384,0.6918604651162791,0.6055979643765903,0.7340881272949816,102,53,0.2236842105263158,0.3081395348837209,FP
has_clickbait_keyword,no_clickbait_keyword,600,159,441,0.7466666666666667,0.6993631245137726,0.5172413793103449,0.660377358490566,0.580110497237569,0.7190775681341719,98,54,0.2222222222222222,0.33962264150943394,FP
has_clickbait_keyword,has_clickbait_keyword,83,54,29,0.7831325301204819,0.7479757085020242,0.8,0.8888888888888888,0.8421052631578947,0.7375478927203065,12,6,0.41379310344827586,0.1111111111111111,FP
has_curiosity_gap,has_curiosity_gap,27,22,5,0.8148148148148148,0.6666666666666666,0.8695652173913043,0.9090909090909091,0.8888888888888888,0.6545454545454545,3,2,0.6,0.09090909090909091,FP
has_curiosity_gap,no_curiosity_gap,656,191,465,0.7484756097560976,0.7149410999417978,0.5541666666666667,0.6963350785340314,0.617169373549884,0.7331137758261554,107,58,0.23010752688172043,0.3036649214659686,FP
has_number,no_number,434,154,280,0.7258064516129032,0.7137695014825283,0.5916230366492147,0.7337662337662337,0.6550724637681159,0.7275974025974026,78,41,0.2785714285714286,0.2662337662337662,FP
has_number,has_number,249,59,190,0.7951807228915663,0.7358612226220438,0.5555555555555556,0.6779661016949152,0.6106870229007634,0.7547725245316681,32,19,0.16842105263157894,0.3220338983050847,FP
